,user,text,favorite_count,retweet_count,created_at
68,FoxNews,Melissa McCarthy recalls hostile workplace that made her 'physically ill' https://t.co/aBvyeXzSpq,39,10,2023-05-23 22:00:08+00:00
69,FoxNews,"Over 100 former world leaders tell Biden to get tough on Iran as scrutiny mounts for lack of strategy
https://t.co/nSKmuUJJw4",296,128,2023-05-23 21:57:04+00:00
70,FoxNews,"Downtown San Diego shooting near library ends with 1 dead, another wounded https://t.co/UWQjsl0Zvx",31,9,2023-05-23 21:50:29+00:00
71,FoxNews,"EXCLUSIVE: @kevinomccarthy not optimistic about reaching debt limit deal on Tuesday
https://t.co/yK8XzOfm1a",78,19,2023-05-23 21:45:11+00:00
72,FoxNews,Anti-Putin groups claim responsibility for Belgorod attack in Russia https://t.co/oeEg0OrJvb,60,16,2023-05-23 21:40:05+00:00
73,FoxNews,"House votes to end Biden’s crackdown on gas-powered trucks, four Dems join GOP https://t.co/qQOLD7BVwp",1162,171,2023-05-23 21:35:02+00:00
74,FoxNews,GLOVES ARE OFF: The Trump campaign did not hesitate to take a swipe at Florida's governor ahead of his expected presidential campaign announcement on Twitter https://t.co/0ebwEChODD https://t.co/ZgkSPqHrLv,74,10,2023-05-23 21:30:10+00:00
75,FoxNews,Lori Vallow verdict: Idaho juror says 'cult mom' had 'no hint' she was destroying 'so much around her' https://t.co/evW70Qtd0H,26,4,2023-05-23 21:25:07+00:00
76,FoxNews,"NO 'COINCIDENCE': Canadian student Josh Alexander was detained while handing out Bibles after he was suspended from school for opposing transgender ideology. Now, he's telling his story https://t.co/FNikxTtiHR https://t.co/hH1E8a1ZN5",1882,340,2023-05-23 21:20:45+00:00
77,FoxNews,Senate Dem cuts out GOP from whistleblower crying foul in Hunter Biden probe https://t.co/vez88UAVyv,51,21,2023-05-23 21:15:04+00:00
78,FoxNews,Target CEO says woke capitalism 'great' for their brand and 'the right thing for society' https://t.co/Xuky7FYvRm,1084,456,2023-05-23 21:10:00+00:00
79,FoxNews,Professor holds machete to reporter's neck after destroying student's pro-life display https://t.co/pfiKoTExtN,267,133,2023-05-23 21:05:03+00:00
80,FoxNews,"Grieving mother demands 'secure' border, vows to be daughter's 'voice' after alleged MS-13 member murdered her https://t.co/PCTqW7oc1q",276,81,2023-05-23 21:00:05+00:00
81,FoxNews,Trump campaign mocks DeSantis' expected Twitter presidential campaign announcement https://t.co/zI35oFZ7Ah,86,16,2023-05-23 20:55:06+00:00
